customer_id,age,monthly_bill,total_usage,contract_type,churn
111,77,21.79,26.41,Month-to-Month,0
112,74,103.54,59.71,One Year,0
113,79,193.43,93.66,One Year,0
114,57,113.43,68.13,Month-to-Month,1
115,38,141.96,42.03,Two Year,0
116,33,76.14,69.26,Month-to-Month,0
117,62,159.32,35.05,Month-to-Month,1
118,35,159.13,28.45,One Year,0
119,64,113.83,99.67,Month-to-Month,0
120,70,195.68,75.33,Two Year,0
121,41,42.6,64.83,Month-to-Month,0
122,43,23.05,36.17,One Year,1
123,42,158.63,5.87,Two Year,0
124,77,165.29,4.07,One Year,0
125,77,41.64,55.86,Month-to-Month,0
126,77,67.8,76.44,Month-to-Month,1
127,62,23.16,54.2,One Year,0
128,58,72.8,84.24,One Year,1
129,46,159.17,4.31,Two Year,0
130,32,113.23,37.31,One Year,0
131,62,82.66,24.47,One Year,1
132,18,86.91,45.28,Month-to-Month,0
133,42,20.24,8.17,Month-to-Month,0
134,24,73.96,95.46,One Year,0
135,26,136.36,23.1,One Year,0
136,41,195.35,92.31,Month-to-Month,0
137,18,172.47,43.16,Two Year,0
138,61,24.25,98.57,Two Year,0
139,25,181.74,55.85,Two Year,1
140,41,160.98,93.15,Two Year,0
141,28,160.47,1.53,Month-to-Month,0
142,68,102.44,75.08,One Year,1
143,34,91.64,90.4,Two Year,0
144,25,74.52,14.83,Month-to-Month,0
145,52,31.83,10.52,One Year,0
146,52,61.08,43.03,Two Year,0
147,50,64.39,93.43,One Year,0
148,76,107.13,54.7,Two Year,0
149,22,154.54,53.22,One Year,0
150,59,105.29,14.97,Two Year,0
151,56,30.41,1.08,Two Year,0
152,75,192.4,81.2,One Year,0
153,58,189.69,9.67,One Year,0
154,45,161.33,63.75,One Year,0
155,24,198.44,91.55,Month-to-Month,0
156,26,118.01,21.66,Month-to-Month,0
157,25,193.3,66.86,One Year,1
158,29,33.61,8.79,Month-to-Month,1
159,51,85.82,60.77,Two Year,1
160,50,60.57,17.23,One Year,0
161,65,55.25,73.86,Month-to-Month,0
162,72,45.34,30.82,One Year,0
163,40,132.03,46.88,Two Year,0
164,79,160.64,60.34,Two Year,0
165,41,124.09,17.96,Month-to-Month,0
166,54,46.45,74.42,Two Year,0
167,52,166.0,30.96,One Year,0
168,61,134.47,66.57,Month-to-Month,1
169,57,89.87,16.67,One Year,0
170,39,141.34,69.12,One Year,1
171,44,66.78,13.69,One Year,0
172,52,82.13,43.11,Two Year,1
173,18,185.15,25.47,One Year,0
174,52,72.29,75.09,Two Year,1
175,54,104.6,26.94,One Year,0
176,64,180.23,88.29,Two Year,0
177,31,147.39,89.29,Two Year,0
178,20,31.2,20.45,Two Year,0
179,18,46.51,61.77,One Year,1
180,22,21.41,9.68,One Year,1
181,43,133.57,39.76,Two Year,0
182,72,100.58,71.62,One Year,0
183,31,44.17,66.28,Two Year,0
184,56,192.43,62.85,One Year,1
185,44,115.34,28.97,Two Year,0
186,26,63.54,38.42,Two Year,0
187,32,110.11,11.19,Month-to-Month,0
188,32,142.33,72.18,One Year,0
189,43,33.72,50.88,One Year,0
190,59,69.45,71.17,Month-to-Month,0
191,77,165.25,25.65,Two Year,0
192,30,102.74,33.12,Two Year,0
193,68,118.38,34.09,Month-to-Month,0
194,49,97.91,3.55,Month-to-Month,0
195,56,27.9,34.76,Two Year,0
196,66,49.83,80.53,One Year,0
197,69,100.2,89.83,Month-to-Month,0
198,78,57.65,52.3,Month-to-Month,1
199,49,29.0,46.09,Month-to-Month,1
200,21,171.86,4.05,Month-to-Month,1
201,47,196.61,88.04,Month-to-Month,1
202,54,162.77,2.29,Month-to-Month,0
203,40,173.68,94.53,Two Year,0
204,56,63.56,49.43,Two Year,0
205,62,192.91,34.85,Month-to-Month,1
206,32,55.45,92.5,Two Year,0
207,60,191.26,3.41,One Year,0
208,46,199.07,58.56,One Year,0
209,53,148.11,55.34,Month-to-Month,0
210,30,196.61,22.71,One Year,0
211,49,122.52,43.46,One Year,1
212,24,66.72,65.57,Two Year,0
213,76,98.66,72.99,Two Year,1
214,68,126.84,1.07,Two Year,0
215,39,33.15,93.75,Two Year,0
216,45,132.02,17.29,One Year,1
217,19,196.61,24.12,Month-to-Month,1
218,59,54.22,27.08,Two Year,0
219,62,162.67,4.74,One Year,0
220,79,183.42,13.18,Two Year,0
221,74,189.87,98.65,One Year,0
222,70,192.82,32.21,Two Year,0
223,23,113.86,12.41,Month-to-Month,1
224,45,195.92,11.59,Two Year,0
225,45,156.32,72.23,Month-to-Month,0
226,61,49.1,85.6,Two Year,0
227,61,105.84,26.44,Two Year,1
228,37,149.3,3.07,Two Year,1
229,47,64.52,23.09,One Year,0
230,79,135.31,6.6,One Year,0
231,28,139.99,11.24,Month-to-Month,0
232,75,49.29,43.72,Month-to-Month,0
233,72,121.72,23.76,One Year,0
234,45,158.89,52.08,Month-to-Month,1
235,42,109.8,26.1,Month-to-Month,1
236,56,22.18,94.11,One Year,0
237,79,21.63,90.69,One Year,0
238,50,84.27,57.11,One Year,0
239,18,186.71,36.09,One Year,0
240,74,61.16,38.73,Two Year,0
241,44,134.19,41.77,One Year,0
242,79,59.97,73.03,Month-to-Month,0
243,74,77.9,45.71,Two Year,0
244,69,172.65,85.82,Two Year,0
245,30,151.2,94.47,Month-to-Month,0
246,58,37.17,34.26,Two Year,0
247,20,97.17,56.51,Month-to-Month,0
248,56,25.25,10.41,Two Year,0
249,23,106.56,20.85,Two Year,0
250,25,139.24,41.93,Month-to-Month,1
251,44,41.33,21.41,Month-to-Month,0
252,26,72.0,87.78,Month-to-Month,1
253,79,91.61,16.67,Month-to-Month,0
254,54,185.52,46.11,One Year,0
255,50,198.79,60.96,One Year,0
256,68,28.08,69.49,Month-to-Month,0
257,59,156.98,38.92,One Year,1
258,61,86.91,87.04,Month-to-Month,1
259,41,90.64,57.26,Month-to-Month,1
260,32,155.77,44.51,Two Year,0
261,76,185.32,7.66,Month-to-Month,0
262,71,191.17,47.0,Month-to-Month,0
263,49,123.88,82.25,Month-to-Month,0
264,49,84.28,61.84,Month-to-Month,0
265,41,161.76,83.38,Two Year,1
266,58,65.18,49.91,Month-to-Month,1
267,69,121.53,12.73,Two Year,0
268,66,84.54,2.35,Month-to-Month,0
269,79,138.19,31.02,Two Year,0
270,66,63.27,70.1,One Year,0
271,75,54.49,79.24,Two Year,0
272,69,185.28,30.28,Two Year,1
273,29,38.32,50.07,Month-to-Month,0
274,79,111.07,42.69,Two Year,0
275,56,59.75,41.64,Two Year,0
276,19,27.01,23.9,Month-to-Month,0
277,20,26.48,14.5,One Year,1
278,66,51.54,20.47,One Year,0
279,54,176.02,6.48,One Year,1
280,66,70.85,20.61,Two Year,0
281,73,191.08,1.91,Month-to-Month,0
282,34,124.69,63.1,One Year,0
283,76,98.59,32.32,One Year,0
284,66,124.42,97.34,One Year,0
285,19,113.01,20.18,One Year,0
286,19,156.58,35.24,Month-to-Month,0
287,45,70.85,36.43,One Year,0
288,71,83.55,1.84,Two Year,1
289,40,180.94,84.08,Two Year,1
290,54,190.36,4.17,Month-to-Month,0
291,49,180.66,94.08,One Year,1
292,50,95.5,89.32,One Year,0
293,18,160.47,54.02,Two Year,0
294,36,105.74,54.82,Month-to-Month,0
295,79,109.56,65.72,Two Year,1
296,19,56.84,39.32,Month-to-Month,0
297,70,126.4,65.08,Month-to-Month,0
298,61,53.5,5.43,Month-to-Month,0
299,43,79.68,6.35,Two Year,0
300,49,173.91,46.27,Month-to-Month,0
301,23,57.27,55.41,Two Year,0
302,49,32.81,88.89,Two Year,0
303,72,32.42,11.36,One Year,1
304,21,189.34,82.44,Two Year,1
305,72,111.25,21.79,Two Year,1
306,28,93.69,40.01,One Year,0
307,73,165.96,32.34,One Year,0
308,76,170.45,40.62,One Year,0
309,34,79.79,15.9,Month-to-Month,0
310,55,144.85,50.85,Month-to-Month,1
311,41,158.8,80.36,One Year,0
312,22,137.84,44.71,Month-to-Month,1
313,69,47.29,49.57,One Year,0
314,51,177.66,85.03,Month-to-Month,1
315,23,117.04,70.9,Two Year,0
316,39,70.85,49.55,Month-to-Month,0
317,28,96.54,26.51,Month-to-Month,0
318,65,26.76,88.61,Two Year,0
319,33,43.02,58.13,One Year,0
320,50,157.8,22.89,Month-to-Month,0
321,26,20.0,27.64,Month-to-Month,0
322,77,94.98,80.51,Two Year,1
323,76,114.05,5.37,Two Year,0
324,23,29.83,99.22,Two Year,0
325,33,195.15,13.9,Two Year,0
326,46,60.7,79.81,One Year,0
327,20,74.76,40.08,Month-to-Month,0
328,37,74.71,49.73,Month-to-Month,0
329,77,61.47,88.18,Month-to-Month,0
330,76,20.27,41.88,Month-to-Month,0
331,53,151.28,54.21,One Year,0
332,36,194.03,5.88,Month-to-Month,0
333,43,60.37,1.23,One Year,0
334,20,139.35,25.24,One Year,0
335,36,153.54,68.38,Two Year,0
336,37,172.72,13.01,Two Year,0
337,49,96.07,12.26,Month-to-Month,0
338,24,74.53,41.69,One Year,0
339,69,78.55,65.14,Two Year,0
340,58,148.27,71.5,One Year,1
341,50,167.02,18.67,Two Year,0
342,57,52.69,8.88,One Year,0
343,56,86.77,94.1,Month-to-Month,0
344,35,182.35,26.81,Month-to-Month,0
345,57,165.2,85.48,One Year,0
346,18,197.27,86.49,Two Year,0
347,28,155.76,77.48,Two Year,1
348,45,90.78,17.71,Month-to-Month,0
349,74,126.31,82.36,Month-to-Month,0
350,42,138.98,77.16,Month-to-Month,0
351,67,34.12,60.08,Two Year,1
352,40,118.01,34.38,Two Year,0
353,48,147.68,26.99,Month-to-Month,0
354,47,50.12,13.07,One Year,0
355,59,160.51,51.47,Two Year,0
356,52,125.08,58.94,Month-to-Month,0
357,24,191.4,36.57,One Year,1
358,77,27.64,48.06,Two Year,0
359,33,67.76,36.99,One Year,0
360,43,128.28,64.46,One Year,0
361,65,73.38,90.22,Two Year,0
362,74,148.6,17.23,Month-to-Month,0
363,69,156.62,38.76,One Year,0
364,77,38.45,14.95,Month-to-Month,0
365,66,112.49,62.87,Two Year,0
366,19,111.6,73.16,One Year,0
367,18,86.47,93.26,One Year,1
368,65,187.93,28.61,One Year,0
369,79,168.95,95.07,One Year,0
370,29,145.5,7.26,One Year,0
371,22,148.58,60.7,Two Year,1
372,54,103.11,6.66,One Year,0
373,49,185.78,89.48,Two Year,0
374,76,145.03,53.45,Month-to-Month,0
375,72,151.22,67.27,Two Year,0
376,26,175.1,83.33,One Year,0
377,58,69.33,15.88,Month-to-Month,1
378,52,165.27,4.82,Two Year,1
379,36,55.14,88.01,Two Year,0
380,65,82.16,32.18,Two Year,0
381,33,80.41,13.77,One Year,0
382,20,196.13,47.38,One Year,1
383,37,174.18,60.23,Two Year,0
384,41,146.21,4.07,Two Year,0
385,71,150.87,28.21,Month-to-Month,0
386,73,121.17,4.25,One Year,0
387,50,190.48,42.61,One Year,0
388,41,109.33,89.61,Month-to-Month,0
389,69,88.49,98.28,Two Year,0
390,28,49.35,64.07,Two Year,0
391,66,161.52,17.0,Month-to-Month,0
392,25,152.2,90.68,Two Year,0
393,53,89.18,52.11,Two Year,0
394,55,24.53,16.22,Month-to-Month,0
395,57,171.02,92.25,Month-to-Month,0
396,37,22.06,75.99,Month-to-Month,1
397,79,146.67,73.44,Two Year,0
398,52,194.65,71.21,Month-to-Month,0
399,65,98.78,20.83,Two Year,0
400,79,62.3,21.89,One Year,0
401,42,146.88,69.14,One Year,0
402,52,167.08,22.75,Month-to-Month,0
403,42,118.36,44.43,Two Year,0
404,46,194.07,78.42,Two Year,0
405,35,29.3,78.61,Two Year,1
406,63,110.86,45.87,Month-to-Month,1
407,35,149.32,79.43,Two Year,1
408,19,175.28,84.02,Two Year,0
409,71,52.27,65.82,Two Year,1
410,52,164.0,23.61,One Year,0
411,33,119.49,28.13,Two Year,0
412,78,91.38,32.17,One Year,0
413,58,43.71,12.56,Two Year,0
414,53,175.75,28.04,Two Year,1
415,50,48.31,21.74,Two Year,0
416,21,75.76,46.08,One Year,0
417,50,72.21,90.94,Two Year,0
418,31,176.85,11.34,Month-to-Month,1
419,38,141.09,72.31,Two Year,0
420,65,163.4,69.04,One Year,1
421,37,65.08,10.48,One Year,0
422,73,132.48,92.33,Month-to-Month,0
423,25,122.91,57.28,Month-to-Month,0
424,24,169.91,37.01,Month-to-Month,0
425,20,183.1,75.9,One Year,0
426,34,22.19,26.48,Two Year,0
427,50,141.32,69.66,Two Year,0
428,65,29.33,4.93,Month-to-Month,0
429,29,118.79,84.1,Month-to-Month,0
430,76,71.77,45.37,Two Year,0
431,68,75.22,64.03,Month-to-Month,0
432,39,83.53,22.9,Two Year,0
433,72,131.83,68.03,Two Year,0
434,39,80.13,77.45,Two Year,0
435,63,151.89,47.85,Two Year,0
436,47,92.81,62.15,One Year,0
437,55,32.3,46.18,Two Year,0
438,55,161.08,89.52,Month-to-Month,1
439,62,71.44,50.29,Month-to-Month,0
440,68,97.9,84.34,Month-to-Month,1
441,71,143.38,80.33,Month-to-Month,0
442,25,79.84,41.64,One Year,0
443,44,30.19,23.78,Two Year,0
444,44,87.31,41.2,Two Year,1
445,51,190.0,82.8,Month-to-Month,0
446,38,135.51,23.54,Month-to-Month,0
447,47,140.87,52.92,Month-to-Month,1
448,50,133.81,80.8,Two Year,0
449,45,55.82,35.99,One Year,0
450,64,95.3,64.58,One Year,0
451,50,155.17,25.32,One Year,0
452,22,38.25,11.82,One Year,0
453,77,70.01,79.64,Month-to-Month,0
454,78,69.74,10.8,Two Year,0
455,65,97.76,27.87,Month-to-Month,0
456,36,196.47,85.66,One Year,0
457,21,32.15,35.3,Month-to-Month,0
458,52,113.37,97.33,One Year,0
459,66,52.29,97.99,Two Year,0
460,34,194.72,27.56,One Year,0
461,61,40.39,5.06,Month-to-Month,0
462,45,92.65,70.8,Two Year,0
463,47,152.82,45.65,One Year,0
464,46,146.82,10.97,One Year,1
465,63,96.09,71.04,Two Year,0
466,70,82.37,4.09,Month-to-Month,0
467,23,91.57,87.15,Two Year,0
468,52,67.57,14.73,Month-to-Month,0
469,77,56.96,13.6,One Year,1
470,58,106.95,18.39,One Year,0
471,54,68.34,96.07,Two Year,0
472,41,71.74,69.62,One Year,0
473,46,138.22,80.34,Two Year,0
474,66,194.34,40.37,One Year,0
475,63,128.65,34.29,One Year,0
476,70,33.86,24.21,Month-to-Month,0
477,48,33.61,48.58,Two Year,0
478,52,191.26,55.63,Two Year,0
479,77,73.51,63.55,One Year,0
480,50,36.57,26.45,Month-to-Month,0
481,69,127.83,94.92,Month-to-Month,0
482,78,132.26,17.81,Two Year,1
483,38,136.73,96.6,Two Year,0
484,49,68.13,2.47,One Year,1
485,40,22.72,48.63,Two Year,0
486,50,193.7,34.0,One Year,0
487,20,65.16,45.46,Month-to-Month,0
488,35,141.68,57.5,Two Year,0
489,42,147.19,44.12,Month-to-Month,1
490,59,129.8,42.07,Month-to-Month,1
491,48,76.32,73.54,One Year,0
492,71,68.8,68.9,Month-to-Month,0
493,75,127.58,83.49,One Year,0
494,20,175.9,25.75,One Year,1
495,57,190.41,61.34,Month-to-Month,0
496,63,39.06,58.93,Month-to-Month,0
497,41,47.87,37.6,One Year,0
498,67,190.05,49.12,One Year,0
499,49,152.58,32.06,Month-to-Month,0
500,64,178.94,15.04,One Year,0
501,39,56.47,22.17,One Year,1
502,40,125.77,11.45,Two Year,0
503,19,146.21,68.62,Two Year,0
504,44,142.42,66.41,Two Year,0
505,59,93.47,95.11,Two Year,0
506,19,22.77,73.24,Two Year,0
507,43,124.93,6.15,One Year,0
508,34,65.56,88.54,One Year,0
509,57,101.05,86.4,Two Year,0
510,50,192.36,44.89,Month-to-Month,0
511,26,91.83,59.0,Two Year,0
512,60,171.16,97.63,Month-to-Month,0
513,71,53.94,53.7,One Year,0
514,65,141.04,90.63,Month-to-Month,0
515,56,195.86,9.22,One Year,0
516,46,38.34,19.91,Month-to-Month,0
517,59,21.5,44.63,One Year,1
518,72,98.04,58.89,One Year,0
519,43,36.67,81.81,Two Year,0
520,52,154.71,98.84,One Year,0
521,67,184.62,39.5,Two Year,0
522,42,98.12,5.69,Two Year,0
523,41,66.57,80.32,Two Year,0
524,30,98.19,60.83,Month-to-Month,0
525,77,150.22,20.66,Month-to-Month,0
526,75,21.63,49.99,One Year,0
527,24,126.1,74.49,Two Year,0
528,74,130.39,77.27,Two Year,0
529,53,134.78,50.46,One Year,0
530,62,63.56,31.22,Two Year,1
531,37,148.53,97.4,One Year,1
532,18,36.45,66.67,Two Year,1
533,25,55.87,41.42,Month-to-Month,1
534,63,177.94,28.77,One Year,0
535,33,152.97,73.38,One Year,1
536,31,22.47,24.98,Month-to-Month,0
537,29,64.71,18.0,One Year,0
538,68,58.59,53.45,Month-to-Month,0
539,40,68.75,29.71,Two Year,0
540,32,64.56,63.26,Month-to-Month,1
541,45,31.25,12.68,Month-to-Month,0
542,51,102.61,65.84,One Year,0
543,19,151.89,29.05,Two Year,0
544,49,129.21,1.02,Month-to-Month,0
545,40,141.12,13.57,Two Year,0
546,39,34.61,93.43,Month-to-Month,1
547,68,191.27,86.87,One Year,0
548,42,170.93,24.13,Month-to-Month,0
549,75,164.92,78.06,Month-to-Month,0
550,79,168.14,61.25,Two Year,0
551,78,187.89,97.12,Month-to-Month,0
552,39,117.97,37.99,One Year,0
553,75,56.05,68.46,One Year,0
554,75,131.02,7.29,Month-to-Month,0
555,39,153.72,40.23,Month-to-Month,0
556,66,152.83,96.42,Two Year,0
557,69,113.86,54.36,Two Year,0
558,59,32.32,29.5,One Year,0
559,23,86.8,12.91,Two Year,1
560,32,185.74,70.65,Month-to-Month,0
561,71,125.2,64.84,One Year,0
562,60,116.9,38.02,Two Year,0
563,77,68.39,95.14,One Year,0
564,54,86.32,3.2,Month-to-Month,0
565,50,181.16,31.07,Two Year,0
566,25,139.96,92.19,Month-to-Month,0
567,70,161.73,32.77,Month-to-Month,0
568,77,101.78,25.97,One Year,0
569,61,133.44,53.89,One Year,0
570,61,64.71,82.56,One Year,0
571,22,146.98,11.21,Two Year,1
572,56,96.97,94.36,Two Year,0
573,21,99.66,79.71,One Year,1
574,23,136.88,18.94,Two Year,0
575,62,188.53,71.49,Two Year,0
576,49,31.52,39.11,One Year,0
577,69,168.45,40.83,Month-to-Month,0
578,47,72.63,78.55,Two Year,0
579,64,99.91,96.32,Two Year,0
580,52,23.94,13.54,Month-to-Month,0
581,72,74.19,42.64,Month-to-Month,0
582,57,110.47,48.61,Month-to-Month,0
583,69,30.11,38.25,One Year,0
584,33,108.4,36.96,Month-to-Month,1
585,30,186.88,6.17,One Year,0
586,67,38.97,68.87,Month-to-Month,0
587,77,157.6,44.19,Month-to-Month,0
588,59,93.74,20.28,One Year,0
589,47,137.93,81.79,One Year,0
590,36,66.84,80.45,Month-to-Month,0
591,34,48.71,49.15,Month-to-Month,0
592,73,48.88,30.55,Month-to-Month,0
593,36,32.69,64.17,Two Year,0
594,45,53.42,29.53,Month-to-Month,0
595,75,139.56,24.36,One Year,1
596,72,178.7,73.32,Two Year,0
597,43,166.54,4.99,One Year,0
598,54,143.32,10.38,Two Year,0
599,43,39.88,1.67,Two Year,1
600,70,72.05,16.14,One Year,0
601,79,75.77,7.83,Two Year,0
602,40,64.99,99.58,One Year,1
603,26,112.7,29.59,Month-to-Month,0
604,29,116.4,15.78,Two Year,0
605,70,84.24,24.86,One Year,0
606,18,83.68,93.68,Two Year,0
607,75,169.14,52.5,One Year,1
608,75,162.07,37.12,Month-to-Month,0
609,18,75.4,87.47,Month-to-Month,0
610,64,184.48,40.1,Two Year,0
611,51,191.51,34.17,Two Year,0
612,49,78.81,21.52,One Year,0
613,79,83.8,38.4,One Year,0
614,71,111.01,32.35,Two Year,1
615,65,189.4,68.05,One Year,0
616,42,177.74,29.67,One Year,0
617,57,38.46,58.14,One Year,0
618,62,90.69,7.52,Two Year,0
619,70,119.61,19.94,Month-to-Month,0
620,18,110.56,41.33,Month-to-Month,0
621,33,54.9,93.76,One Year,0
622,78,174.59,38.35,Two Year,0
623,56,141.85,66.74,One Year,0
624,22,170.82,26.25,Month-to-Month,1
625,39,174.58,13.58,One Year,0
626,46,154.7,6.8,Month-to-Month,0
627,72,99.06,31.24,Two Year,0
628,20,129.9,16.61,One Year,0
629,29,48.87,18.23,Two Year,0
630,43,141.26,76.32,One Year,0
631,33,52.27,2.57,One Year,1
632,68,144.91,56.22,One Year,0
633,54,61.33,38.57,One Year,0
634,39,41.16,51.15,One Year,0
635,74,49.75,56.72,Two Year,0
636,46,20.36,32.02,Two Year,0
637,31,149.37,30.22,Month-to-Month,0
638,45,151.83,73.61,One Year,1
639,22,112.69,87.26,Month-to-Month,1
640,64,49.05,20.07,Two Year,0
641,66,35.04,10.66,Month-to-Month,0
642,47,23.44,89.88,Two Year,0
643,63,49.83,35.64,One Year,1
644,79,180.35,55.58,Month-to-Month,0
645,69,63.48,36.59,Month-to-Month,0
646,22,83.77,13.45,Month-to-Month,0
647,29,38.96,59.34,Month-to-Month,0
648,33,60.03,52.99,One Year,0
649,43,113.46,21.1,Two Year,1
650,43,129.4,45.74,Two Year,1
651,65,64.16,79.9,One Year,0
652,38,30.39,59.45,Two Year,0
653,56,90.39,10.59,Month-to-Month,1
654,53,62.16,55.25,One Year,0
655,50,59.52,70.57,Two Year,0
656,79,192.78,79.48,One Year,0
657,47,130.93,63.28,One Year,1
658,54,120.24,16.11,Two Year,0
659,40,94.84,71.31,Two Year,0
660,75,97.21,68.06,One Year,1
661,27,117.36,3.42,One Year,0
662,71,145.36,41.76,Two Year,1
663,22,146.39,33.96,One Year,0
664,53,50.9,67.27,Two Year,0
665,51,110.02,22.4,One Year,0
666,69,94.15,59.5,One Year,0
667,48,176.69,91.41,One Year,0
668,27,133.66,79.98,Two Year,1
669,75,115.85,92.22,Month-to-Month,0
670,36,40.77,97.87,Two Year,1
671,75,129.01,2.06,One Year,0
672,49,41.1,62.65,Month-to-Month,0
673,18,80.7,41.87,Month-to-Month,0
674,73,45.71,86.13,One Year,0
675,22,144.57,25.93,Two Year,0
676,62,57.13,98.12,Month-to-Month,1
677,21,90.53,61.76,Month-to-Month,0
678,33,181.22,79.56,Two Year,0
679,41,56.78,9.47,Two Year,0
680,33,111.4,19.16,Month-to-Month,0
681,72,95.47,76.08,Two Year,0
682,19,23.26,3.18,Month-to-Month,0
683,66,162.7,81.87,One Year,0
684,45,32.43,2.38,Two Year,0
685,49,105.37,66.05,Month-to-Month,0
686,44,120.92,37.14,Two Year,0
687,37,133.12,61.54,Two Year,0
688,41,143.95,69.91,Month-to-Month,1
689,29,65.59,34.91,One Year,0
690,67,21.8,11.69,Month-to-Month,0
691,52,150.22,7.89,Two Year,0
692,77,116.42,59.3,Month-to-Month,1
693,50,170.5,52.54,Two Year,0
694,50,167.85,74.48,Month-to-Month,0
695,78,171.8,51.46,One Year,0
696,68,107.32,42.82,One Year,0
697,60,80.05,40.41,One Year,0
698,54,162.48,3.62,One Year,0
699,29,101.23,34.22,Month-to-Month,0
700,20,53.02,97.63,One Year,0
701,18,173.9,87.48,Month-to-Month,0
702,50,178.86,33.61,Two Year,0
703,57,103.94,59.19,Two Year,0
704,27,33.63,84.88,Two Year,1
705,60,89.81,44.69,One Year,0
706,61,164.64,2.78,One Year,1
707,46,182.32,8.38,One Year,0
708,30,56.63,51.53,Two Year,1
709,29,32.06,96.97,Two Year,0
710,48,177.92,69.63,Two Year,0
